application/andrew-inset    ez
application/dsptype    tsp
application/futuresplash    spl
application/hta    hta
application/mac-binhex40    hqx
application/mac-compactpro    cpt
application/mathematica    nb
application/msaccess    mdb
application/msword    doc
application/msword    dot
application/oda    oda
application/ogg    ogg
application/pdf    pdf
application/pgp-keys    key
application/pgp-signature    pgp
application/pics-rules    prf
application/pkix-cert    cer
application/rar    rar
application/rdf+xml    rdf
application/rss+xml    rss
application/vnd.android.package-archive    apk
application/vnd.cinderella    cdy
application/vnd.google-earth.kml+xml    kml
application/vnd.google-earth.kmz    kmz
application/vnd.ms-excel    xls
application/vnd.ms-excel    xlt
application/vnd.ms-pki.stl    stl
application/vnd.ms-powerpoint    pot
application/vnd.ms-powerpoint    pps
application/vnd.ms-powerpoint    ppt
application/vnd.oasis.opendocument.database    odb
application/vnd.oasis.opendocument.formula    odf
application/vnd.oasis.opendocument.graphics    odg
application/vnd.oasis.opendocument.graphics-template    otg
application/vnd.oasis.opendocument.image    odi
application/vnd.oasis.opendocument.spreadsheet    ods
application/vnd.oasis.opendocument.spreadsheet-template    ots
application/vnd.oasis.opendocument.text    odt
application/vnd.oasis.opendocument.text-master    odm
application/vnd.oasis.opendocument.text-template    ott
application/vnd.oasis.opendocument.text-web    oth
application/vnd.openxmlformats-officedocument.presentationml.presentation    pptx
application/vnd.openxmlformats-officedocument.presentationml.slideshow    ppsx
application/vnd.openxmlformats-officedocument.presentationml.template    potx
application/vnd.openxmlformats-officedocument.spreadsheetml.sheet    xlsx
application/vnd.openxmlformats-officedocument.spreadsheetml.template    xltx
application/vnd.openxmlformats-officedocument.wordprocessingml.document    docx
application/vnd.openxmlformats-officedocument.wordprocessingml.template    dotx
application/vnd.rim.cod    cod
application/vnd.smaf    mmf
application/vnd.stardivision.calc    sdc
application/vnd.stardivision.draw    sda
application/vnd.stardivision.impress    sdd
application/vnd.stardivision.impress    sdp
application/vnd.stardivision.math    smf
application/vnd.stardivision.writer    sdw
application/vnd.stardivision.writer    vor
application/vnd.stardivision.writer-global    sgl
application/vnd.sun.xml.calc    sxc
application/vnd.sun.xml.calc.template    stc
application/vnd.sun.xml.draw    sxd
application/vnd.sun.xml.draw.template    std
application/vnd.sun.xml.impress    sxi
application/vnd.sun.xml.impress.template    sti
application/vnd.sun.xml.math    sxm
application/vnd.sun.xml.writer    sxw
application/vnd.sun.xml.writer.global    sxg
application/vnd.sun.xml.writer.template    stw
application/vnd.visio    vsd
application/x-abiword    abw
application/x-apple-diskimage    dmg
application/x-bcpio    bcpio
application/x-bittorrent    torrent
application/x-cdf    cdf
application/x-cdlink    vcd
application/x-chess-pgn    pgn
application/x-cpio    cpio
application/x-debian-package    deb
application/x-debian-package    udeb
application/x-director    dcr
application/x-director    dir
application/x-director    dxr
application/x-dms    dms
application/x-doom    wad
application/x-dvi    dvi
